date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:26	223/223	---M--	200	added ('OK')	text/plain	etag:W/%22df-2AU9dhQzXDziN3aNt9ArJJ80IVY%22	https://www.online-esta.website/robots.txt		(from )
11:55:27	470825/470825	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:19%20GMT	https://www.online-esta.website/	D:/online%20esta%20website/online-esta.website/www.online-esta.website/index.html	(from )
11:55:28	1550/1550	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Jun%202020%2014:56:21%20GMT	https://static.wixstatic.com/media/d25dd5_6d4887fc444f482b8577747d4752d5df~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/d25dd5_6d4887fc444f482b8577747d4752d5df~mv2.jpg	D:/online%20esta%20website/online-esta.website/static.wixstatic.com/media/d25dd5_6d4887fc444f482b8577747d4752d5df_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/d25dd5_6d4887fc444f482b8577747d4752d5df_mv2.jpg	(from https://www.online-esta.website/)
11:55:29	258/258	---M--	200	added ('OK')	text/xml	etag:c3bae009a91147afc61bc4f48c370df1	https://www.online-esta.website/sitemap.xml	D:/online%20esta%20website/online-esta.website/www.online-esta.website/sitemap.xml	(from https://www.online-esta.website/)
11:55:30	2866/2866	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Jun%202020%2014:56:22%20GMT	https://www.online-esta.website/feed.xml	D:/online%20esta%20website/online-esta.website/www.online-esta.website/feed.xml	(from https://www.online-esta.website/)
11:55:33	72170/72170	---M-Z	200	added ('OK')	application/javascript	etag:%22c9af8a10b26de38db0c63a58fa9596f7%22	https://browser.sentry-cdn.com/4.6.2/bundle.min.js	D:/online%20esta%20website/online-esta.website/browser.sentry-cdn.com/4.6.2/bundle.min.js	(from https://www.online-esta.website/)
11:55:34	137771/137771	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/online%20esta%20website/online-esta.website/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.online-esta.website/)
11:55:34	14805/14805	---MCZ	200	added ('OK')	application/javascript	etag:W/%22456c02ee2a496580a24e5aee614ba9b3%22	https://static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	D:/online%20esta%20website/online-esta.website/static.parastorage.com/unpkg/whatwg-fetch@3.0.0/dist/fetch.umd.js	(from https://www.online-esta.website/)
11:55:34	104998/104998	---MCZ	200	added ('OK')	application/javascript	etag:W/%22949ba62b42721d4404624a148729bcd1%22	https://static.parastorage.com/services/wix-bolt/1.6120.0/bolt-main/app/bolt-custom-elements.min.js	D:/online%20esta%20website/online-esta.website/static.parastorage.com/services/wix-bolt/1.6120.0/bolt-main/app/bolt-custom-elements.min.js	(from https://www.online-esta.website/)
11:55:36	17493/17493	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218823f6a6d208ee1e361bb266ab794d5%22	https://static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	D:/online%20esta%20website/online-esta.website/static.parastorage.com/unpkg/requirejs-bolt@2.3.6/requirejs.min.js	(from https://www.online-esta.website/)
11:55:36	62895/62895	---M-Z	200	added ('OK')	application/javascript	etag:%22f5af-5a59cf1a852bd%22	https://www.clickcease.com/monitor/stat.js	D:/online%20esta%20website/online-esta.website/www.clickcease.com/monitor/stat.js	(from https://www.online-esta.website/)
11:55:36	1525/1525	---M--	200	added ('OK')	image/png	etag:%223c6917fb33e1253998115aa201c321c3%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	D:/online%20esta%20website/online-esta.website/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_out.png	(from https://www.online-esta.website/)
11:55:37	1522/1522	---M--	200	added ('OK')	image/png	etag:%22b99ad060add6edf8dcabf85de74182b0%22	https://static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	D:/online%20esta%20website/online-esta.website/static.parastorage.com/services/skins/2.1229.80/images/wysiwyg/core/themes/base/cursor_zoom_in.png	(from https://www.online-esta.website/)
11:55:37	2506/2506	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Jun%202020%2014:56:31%20GMT	https://static.wixstatic.com/media/d25dd5_7e6dcec50ac146acb6ba56344c785b8f~mv2.jpg/v1/fill/w_387,h_39,al_c,q_80,usm_0.66_1.00_0.01,blur_2/d25dd5_7e6dcec50ac146acb6ba56344c785b8f~mv2.jpg	D:/online%20esta%20website/online-esta.website/static.wixstatic.com/media/d25dd5_7e6dcec50ac146acb6ba56344c785b8f_mv2.jpg/v1/fill/w_387,h_39,al_c,q_80,usm_0.66_1.00_0.01,blur_2/d25dd5_7e6dcec50ac146acb6ba56344c785b8f_mv2.jpg	(from https://www.online-esta.website/)
11:55:38	14394/14394	---M--	200	added ('OK')	image/png	etag:%22926a316beeecab955048ad339ff37323%22	https://static.wixstatic.com/media/d25dd5_86b73fa88afe44dea0736fa252ebfa76~mv2.png/v1/fill/w_270,h_52,al_c,usm_0.66_1.00_0.01,blur_2/d25dd5_86b73fa88afe44dea0736fa252ebfa76~mv2.png	D:/online%20esta%20website/online-esta.website/static.wixstatic.com/media/d25dd5_86b73fa88afe44dea0736fa252ebfa76_mv2.png/v1/fill/w_270,h_52,al_c,usm_0.66_1.00_0.01,blur_2/d25dd5_86b73fa88afe44dea0736fa252ebfa76_mv2.png	(from https://www.online-esta.website/)
11:55:38	7297/7297	---M--	200	added ('OK')	image/gif	etag:%224ccd6e7d281921887ff2ac179e21d85e%22	https://static.wixstatic.com/media/d25dd5_94a60ff307cb4fdeb1339963f541055c~mv2.gif	D:/online%20esta%20website/online-esta.website/static.wixstatic.com/media/d25dd5_94a60ff307cb4fdeb1339963f541055c_mv2.gif	(from https://www.online-esta.website/)
11:55:39	479636/479636	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:32%20GMT	https://www.online-esta.website/2	D:/online%20esta%20website/online-esta.website/www.online-esta.website/2.html	(from https://www.online-esta.website/)
11:55:40	357539/357539	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:33%20GMT	https://www.online-esta.website/productos	D:/online%20esta%20website/online-esta.website/www.online-esta.website/productos.html	(from https://www.online-esta.website/)
11:55:41	466740/466740	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:33%20GMT	https://www.online-esta.website/contacto	D:/online%20esta%20website/online-esta.website/www.online-esta.website/contacto.html	(from https://www.online-esta.website/)
11:55:41	355114/355114	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:34%20GMT	https://www.online-esta.website/terminos-y-condiciones	D:/online%20esta%20website/online-esta.website/www.online-esta.website/terminos-y-condiciones.html	(from https://www.online-esta.website/)
11:55:45	450908/450908	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:34%20GMT	https://www.online-esta.website/politica-de-privacidad	D:/online%20esta%20website/online-esta.website/www.online-esta.website/politica-de-privacidad.html	(from https://www.online-esta.website/)
11:55:46	13499/13499	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Jun%202020%2014:56:39%20GMT	https://static.wixstatic.com/media/d25dd5_677f5ab1725b4f42bafaa84d2f907b66~mv2.jpg/v1/fill/w_134,h_734,al_c,q_80,usm_0.66_1.00_0.01,blur_3/d25dd5_677f5ab1725b4f42bafaa84d2f907b66~mv2.jpg	D:/online%20esta%20website/online-esta.website/static.wixstatic.com/media/d25dd5_677f5ab1725b4f42bafaa84d2f907b66_mv2.jpg/v1/fill/w_134,h_734,al_c,q_80,usm_0.66_1.00_0.01,blur_3/d25dd5_677f5ab1725b4f42bafaa84d2f907b66_mv2.jpg	(from https://www.online-esta.website/2)
11:55:47	348167/348167	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:40%20GMT	https://www.online-esta.website/requisitos-de-su-pasaporte-para-el-	D:/online%20esta%20website/online-esta.website/www.online-esta.website/requisitos-de-su-pasaporte-para-el-.html	(from https://www.online-esta.website/2)
11:55:48	344756/344756	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:39%20GMT	https://www.online-esta.website/requisitos-del-esta	D:/online%20esta%20website/online-esta.website/www.online-esta.website/requisitos-del-esta.html	(from https://www.online-esta.website/2)
11:55:48	448295/448295	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:41%20GMT	https://www.online-esta.website/requisitos-de-entrada-a-eeuu	D:/online%20esta%20website/online-esta.website/www.online-esta.website/requisitos-de-entrada-a-eeuu.html	(from https://www.online-esta.website/2)
11:55:49	344985/344985	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:41%20GMT	https://www.online-esta.website/requisitos-tecnicos-de-su-ordenador	D:/online%20esta%20website/online-esta.website/www.online-esta.website/requisitos-tecnicos-de-su-ordenador.html	(from https://www.online-esta.website/2)
11:55:49	446761/446761	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:42%20GMT	https://www.online-esta.website/que-datos-es-posible-modificar-en-l	D:/online%20esta%20website/online-esta.website/www.online-esta.website/que-datos-es-posible-modificar-en-l.html	(from https://www.online-esta.website/2)
11:55:50	449336/449336	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:42%20GMT	https://www.online-esta.website/pasaporte-cambiado	D:/online%20esta%20website/online-esta.website/www.online-esta.website/pasaporte-cambiado.html	(from https://www.online-esta.website/2)
11:55:50	448198/448198	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jun%202020%2014:56:43%20GMT	https://www.online-esta.website/pasaporte-caducado	D:/online%20esta%20website/online-esta.website/www.online-esta.website/pasaporte-caducado.html	(from https://www.online-esta.website/2)
11:55:51	2863/2863	---M--	200	added ('OK')	image/jpeg	date:Fri,%2026%20Jun%202020%2014:56:44%20GMT	https://static.wixstatic.com/media/d25dd5_f8fe3143dada4bcfa0c32f054400708b~mv2.jpg/v1/fill/w_180,h_116,al_c,q_80,usm_0.66_1.00_0.01,blur_2/d25dd5_f8fe3143dada4bcfa0c32f054400708b~mv2.jpg	D:/online%20esta%20website/online-esta.website/static.wixstatic.com/media/d25dd5_f8fe3143dada4bcfa0c32f054400708b_mv2.jpg/v1/fill/w_180,h_116,al_c,q_80,usm_0.66_1.00_0.01,blur_2/d25dd5_f8fe3143dada4bcfa0c32f054400708b_mv2.jpg	(from https://www.online-esta.website/2)
